recipe_name,ingredients,directions,img_src
Nasi Goreng Ayam (Indonesian Chicken Fried Rice),"3 cups cooked jasmine rice, 200 grams chicken breast chopped, 2 large eggs beaten, 4 cloves garlic minced, 3 shallots sliced, 3 tablespoons sweet soy sauce, 1 tablespoon vegetable oil, 1 teaspoon salt, 1 pinch black pepper","Heat vegetable oil in a large wok over medium-high heat. Add minced garlic and sliced shallots, sauté until fragrant. Add chopped chicken breast and cook until no longer pink. Push chicken to the side, pour in beaten eggs, and scramble until cooked. Add cooked jasmine rice, sweet soy sauce, salt, and black pepper. Stir-fry constantly on high heat for 3-4 minutes until the rice is evenly coated and slightly caramelized. Serve hot, garnished with fresh sliced cucumber or a fried egg.",https://asset.kompas.com/crops/2RnTJZK6E9ABjS_1qmItNjI1hls=/0x0:5760x3840/750x500/data/photo/2023/02/14/63eb12fb840da.jpg
Sate Ayam Madura (Chicken Satay with Peanut Sauce),"500 grams chicken breast cut into cubes, 1/2 cup peanut butter, 4 tablespoons sweet soy sauce, 3 cloves garlic, 4 shallots, 1 tablespoon lime juice, 2 tablespoons palm sugar, 1 cup water, 1 teaspoon salt","Thread the cubed chicken breasts onto bamboo skewers. Grill or pan-fry the skewers until charred and cooked through, about 3-4 minutes per side. For the peanut sauce: Blend peanut butter, sweet soy sauce, garlic, shallots, palm sugar, salt, and water in a blender until smooth. Pour into a small saucepan and simmer over low heat until thickened and oil separates. Drizzle lime juice over the sauce. Serve satay skewers hot, smothered in the rich peanut sauce, topped with sliced shallots.",https://img-global.cpcdn.com/recipes/5b1b44ec2501bc5b/1200x630cq70/photo.jpg
Soto Ayam (Indonesian Spiced Chicken Soup),"300 grams chicken breast, 100 grams rice vermicelli soaked, 1 cup shredded cabbage, 1/2 cup bean sprouts, 2 hard boiled eggs halved, 2 stalks lemongrass bruised, 1 inch ginger bruised, 1 teaspoon turmeric powder, 4 cloves garlic, 4 shallots, 1 tablespoon lime juice, 4 cups water, 1 teaspoon salt","In a large pot, bring chicken breast and 4 cups of water to a boil. Simmer until chicken is cooked, then remove, shred, and set aside. Blend garlic, shallots, ginger, turmeric, and salt into a smooth spice paste. Sauté the paste with bruised lemongrass in a separate pan until fragrant, then stir it back into the chicken boiling broth. Bring broth to a simmer. To assemble: Place soaked rice vermicelli, cabbage, bean sprouts, and shredded chicken in serving bowls. Ladle hot spiced broth over them. Garnish with hard-boiled egg halves, celery, and a squeeze of fresh lime juice.",https://asset.kompas.com/crops/z7_4ZpLh3wD6_zXpB0FvM2E4P3E=/0x0:1000x667/780x390/data/photo/2021/08/13/611680d9229f3.jpg
Rendang Daging Sapi (Sumatran Slow-Cooked Beef Rendang),"500 grams beef chuck cut into chunks, 2 cups coconut milk, 2 stalks lemongrass bruised, 1 inch ginger, 4 cloves garlic, 6 shallots, 1 inch galangal, 1 teaspoon turmeric powder, 3 dry red chillies, 1 tablespoon ground coriander, 1 teaspoon salt, 1 tablespoon palm sugar","Blend ginger, garlic, shallots, galangal, turmeric, and red chillies with a little water to make a smooth spice paste. In a heavy-bottomed pot or Dutch oven, combine the spice paste, coconut milk, ground coriander, salt, palm sugar, and bruised lemongrass. Bring to a boil, stirring constantly. Add the beef chunks and reduce heat to low. Slow cook uncovered, stirring occasionally, for 3 to 4 hours until the liquid completely evaporates and the beef turns dark brown, tender, and caramelized in its own oil. Serve warm.",https://asset.kompas.com/crops/h919v0v5B-Rk_296S5n4P82qf5E=/0x113:1000x780/750x500/data/photo/2020/06/29/5ef9d984bbf63.jpg
Gado-Gado (Indonesian Vegetable Salad with Warm Peanut Sauce),"150 grams tofu cubed, 150 grams tempeh cubed, 2 hard boiled eggs halved, 1 cup spinach blanched, 1 cup cabbage shredded, 1/2 cup bean sprouts blanched, 1 medium potato boiled and cubed, 1/2 cup peanut butter, 3 tablespoons sweet soy sauce, 2 cloves garlic, 1 tablespoon tamarind juice, 1/2 cup water, 1 teaspoon salt, 1 tablespoon vegetable oil","Pan-fry the cubed tofu and tempeh in a little vegetable oil until golden brown on all sides. Arrange blanched spinach, cabbage, bean sprouts, boiled potato cubes, fried tofu, fried tempeh, and hard-boiled eggs on a platter. For the sauce: Blend peanut butter, sweet soy sauce, garlic, tamarind juice, water, and salt. Simmer in a small pan until warm and thick. Pour the warm peanut sauce generously over the vegetables and protein. Serve immediately with crackers.",https://asset.kompas.com/crops/98T377Hq3LwN2XN4k7v0Nn0m2E4=/0x0:1000x667/780x390/data/photo/2021/08/11/6113b2d6a54b3.jpg
Bakso Sapi (Indonesian Beef Meatball Soup),"12 pieces beef meatballs, 100 grams egg noodles, 100 grams rice vermicelli, 1 cup bok choy, 2 cloves garlic minced, 4 cups beef broth, 1 teaspoon salt, 1/2 teaspoon white pepper, 1 tablespoon vegetable oil, 2 tablespoons fried shallots","Heat vegetable oil in a soup pot. Add minced garlic, sauté until light golden brown. Pour in beef broth and bring to a rolling boil. Add beef meatballs, reduce heat, and simmer until meatballs float to the top, about 5-7 minutes. Season with salt and white pepper. Blance bok choy, egg noodles, and rice vermicelli in hot water, then divide into serving bowls. Ladle the hot soup and meatballs over the noodles. Garnish generously with celery leaves and fried shallots.",https://asset.kompas.com/crops/P3v7Pq0Kk9zD29k2zP2x2z9k2xE=/0x0:1000x667/780x390/data/photo/2021/08/12/6114e0d9229f3.jpg
Opor Ayam Kampung (White Coconut Chicken Curry),"400 grams chicken breast cut into pieces, 1.5 cups coconut milk, 1 teaspoon ground coriander, 1/2 teaspoon ground cumin, 2 stalks lemongrass, 1 inch ginger, 3 cloves garlic, 4 shallots, 2 bay leaves, 1 teaspoon salt, 1 teaspoon sugar","Blend garlic, shallots, ginger, coriander, cumin, and salt into a paste. Sauté the paste with lemongrass and bay leaves in a pot until highly aromatic. Add the chicken pieces and stir until they are sealed on the outside. Pour in coconut milk and sugar. Bring to a gentle boil, then simmer on low heat for 20 minutes until the chicken is tender and the curry is rich and flavorful. Serve hot, topped with crispy fried shallots.",https://asset.kompas.com/crops/z7_4ZpLh3wD6_zXpB0FvM2E4P3E=/0x0:1000x667/780x390/data/photo/2021/08/13/611680d9229f3.jpg
Tempe Bacem (Javanese Sweet Braised Tempeh),"300 grams tempeh sliced, 1.5 cups coconut water, 4 tablespoons sweet soy sauce, 1 teaspoon ground coriander, 3 cloves garlic, 3 shallots, 1 tablespoon tamarind juice, 2 tablespoons palm sugar, 1 teaspoon salt, 1 tablespoon vegetable oil","Blend garlic, shallots, coriander, and salt. Sauté the paste with a little oil in a saucepan until fragrant. Add coconut water, sweet soy sauce, palm sugar, tamarind juice, and sliced tempeh. Bring to a simmer over medium-low heat. Cook uncovered until the liquid is fully absorbed by the tempeh, turning once. Remove the tempeh. Pan-fry the braised tempeh in a tablespoon of oil for 1-2 minutes per side until slightly caramelized on the edges. Serve warm.",https://img-global.cpcdn.com/recipes/5b1b44ec2501bc5b/1200x630cq70/photo.jpg
Sayur Asem (Sundanese Tamarind Vegetable Soup),"1 tablespoon tamarind pulp, 1 piece sweet corn cut into chunks, 1 cup cabbage, 1/4 cup raw peanuts, 1 cup long beans cut into segments, 1 chayote peeled and cubed, 3 cloves garlic, 3 shallots, 1 red chili, 4 cups water, 1 teaspoon salt","In a soup pot, bring 4 cups of water to a boil. Add raw peanuts and sweet corn chunks, boil for 10 minutes. Blend garlic, shallots, and red chili, then add to the pot. Add cubed chayote, long beans, cabbage, and tamarind pulp dissolved in warm water. Season with salt. Simmer for another 8-10 minutes until all vegetables are perfectly tender. The broth should be refreshing, tangy, and slightly spicy.",https://asset.kompas.com/crops/98T377Hq3LwN2XN4k7v0Nn0m2E4=/0x0:1000x667/780x390/data/photo/2021/08/11/6113b2d6a54b3.jpg
Sayur Lodeh (Javanese Vegetable Coconut Soup),"1.5 cups coconut milk, 1 cup cabbage chopped, 1 cup long beans chopped, 1 eggplant cubed, 100 grams tempeh cubed, 100 grams tofu cubed, 3 cloves garlic, 4 shallots, 2 red chillies, 1 teaspoon ground coriander, 1 teaspoon salt, 1 teaspoon sugar","Blend garlic, shallots, red chillies, coriander, and salt. In a pot, combine coconut milk, the spice paste, and sugar. Bring to a gentle boil, stirring constantly. Add cubed eggplant, tempeh, tofu, long beans, and cabbage. Simmer over low heat for 12-15 minutes until vegetables are cooked through and the broth is creamy. Serve warm.",https://asset.kompas.com/crops/98T377Hq3LwN2XN4k7v0Nn0m2E4=/0x0:1000x667/780x390/data/photo/2021/08/11/6113b2d6a54b3.jpg
